Cruise,Cruise_ID_2,Month_local,Year_local,class,d_1m,d_7m,d_15m,d_25m,d_35m,d_55m,d_75m,d_100m,Total_sum
56,CAR-056,7,2000,Coccolithophyceae,0,3.83,0,0,0,10.835,0,0,14.667
56,CAR-056,7,2000,Dinophyceae,0,1.9,21.5,0.512,0,0.501,0,24.907999999999998,24.431
59,CAR-059,10,2000,Bacillariophyceae,1.56,1.2400000000000002,0.128,2.001,2.749,1.6640000000000001,0.32,4.5015,9.369500000000002
59,CAR-059,10,2000,Coccolithophyceae,9.98,13,4.6080000000000005,0.96,2.109,5.747999999999999,0.274,0.0835,36.409
59,CAR-059,10,2000,Dinophyceae,1.29,1.42,1.662,2.128,0.512,0.064,0,0.2505,7.1325
60,CAR-060,11,2000,Bacillariophyceae,0,0.33,2.7830000000000004,7.661999999999999,2.428,198.90200000000002,7.9239999999999995,0,212.109
60,CAR-060,11,2000,Coccolithophyceae,0.13,3.67,1.726,5.492,13.036,0,1.152,0,24.065
60,CAR-060,11,2000,Dinophyceae,0.13,0,0.128,2.81,0.384,0.417,0.128,0,3.876
61,CAR-061,12,2000,Bacillariophyceae,18.42,20.999999999999996,6.513,5.34,3.456,10.333,0.334,3.328,65.144
61,CAR-061,12,2000,Coccolithophyceae,26.650000000000002,29.16,0,0,0,0.167,0,8.174,56.042
61,CAR-061,12,2000,Dinophyceae,0.38,2.46,0,0.128,0.128,0,0,0,3.13
62,CAR-062,1,2001,Bacillariophyceae,342.79,255.79999999999998,337.164,449,0.501,0.501,2.672,3.072,1387.8039999999999
62,CAR-062,1,2001,Coccolithophyceae,10.530000000000001,10.530000000000001,11.495999999999999,0,2.171,1.002,0,0.256,35.745
62,CAR-062,1,2001,Dinophyceae,1.9,2.86,3.832,1.5,0.334,0.167,0.167,0,10.623
63,CAR-063,2,2001,Bacillariophyceae,704.73,369.62,101.61899999999999,277.28799999999995,137.086,8.083,1.1520000000000001,0,1599.6960000000004
63,CAR-063,2,2001,Coccolithophyceae,22.980000000000004,18.5,27.493000000000002,36.641000000000005,17.833,0,0.128,0,123.48999999999998
63,CAR-063,2,2001,Dinophyceae,17.2,2.55,0,0.833,0.313,0,0,0,20.943999999999996
